Timestamp,Feed Type,Articles Shown,Q1: Familiarity,Q2: Prior Knowledge,Q3: News Source,Q4: International News Frequency,Q5: Posts Read Count,Q6: Saw Ads,Q7: Answer,Q7: Confidence,Q8: Answer,Q8: Confidence,Q9: Answer,Q9: Confidence,Q10: Answer,Q10: Confidence,Q11: Answer,Q11: Confidence,Q12: Answer,Q12: Confidence,Q13: Answer,Q13: Confidence,Q14: Answer,Q14: Confidence,Q15: Answer,Q15: Confidence,Q16: Answer,Q16: Confidence,Q17: Trust,Q18: Bias,Q19: Emotion,Q20: Contradiction,Q21: Charged Language,Q22: Context,Q23: Attention,Q24: Age,Q25: Education,Q26: Country,Q27: Politics
4/19/2026 22:13:03,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Social media,Often,1-3,Yes,TRUE,50,NEI,50,TRUE,60,NEI,50,TRUE,100,FALSE,100,TRUE,59,NEI,50,FALSE,100,NEI,50,7,1,0,1,0,4,Somewhat agree,25-34,Masters,United States,2
4/19/2026 23:42:49,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Social media,Sometimes,1-3,Yes,FALSE,50,TRUE,50,TRUE,50,TRUE,50,TRUE,50,FALSE,50,TRUE,50,NEI,50,TRUE,50,NEI,50,4,1,0,0,1,2,Agree,45-54,Masters,US,5
4/20/2026 0:09:26,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",2,No,Social media,Sometimes,1-3,No,FALSE,50,TRUE,80,NEI,50,TRUE,75,NEI,50,FALSE,20,TRUE,50,NEI,50,FALSE,39,NEI,50,4,3,3,3,3,3,Somewhat agree,18-24,Bachelors,United States,5
4/20/2026 11:20:58,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Social media,Often,1-3,Yes,FALSE,81,TRUE,36,FALSE,63,NEI,50,TRUE,100,FALSE,100,TRUE,70,NEI,50,TRUE,100,NEI,50,3,3,0,2,2,0,Somewhat agree,18-24,Bachelors,INDIA,2
4/20/2026 11:45:53,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Podcasts/radio,Sometimes,1-3,Yes,FALSE,95,NEI,0,TRUE,100,FALSE,75,TRUE,95,FALSE,100,TRUE,100,NEI,0,NEI,0,NEI,0,5,1,2,2,3,3,Somewhat agree,18-24,<HS,United States,1
4/20/2026 13:20:21,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Online news,Sometimes,,,FALSE,100,TRUE,50,FALSE,90,FALSE,91,TRUE,50,FALSE,100,FALSE,76,NEI,67,FALSE,90,FALSE,50,6,3,3,7,2,5,Somewhat agree,45-54,Some college,,1
4/20/2026 13:29:10,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Online news,Always,1-3,No,NEI,50,TRUE,100,TRUE,100,FALSE,100,TRUE,81,FALSE,100,TRUE,95,NEI,81,NEI,92,NEI,50,7,6,5,0,4,1,Somewhat agree,65+,Masters,United States,4
4/20/2026 14:36:30,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,Vague,Online news,Sometimes,1-3,Yes,FALSE,76,NEI,78,TRUE,38,FALSE,78,TRUE,28,FALSE,100,FALSE,72,NEI,50,TRUE,24,TRUE,27,5,4,4,5,5,3,Somewhat agree,25-34,Bachelors,United States,2
4/20/2026 14:47:17,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,,Online news,Rarely,1-3,No,TRUE,100,NEI,87,TRUE,100,TRUE,91,TRUE,100,FALSE,93,FALSE,96,NEI,96,FALSE,96,TRUE,85,6,3,0,4,4,5,Somewhat agree,65+,Bachelors,United States,2
4/20/2026 16:44:32,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Online news,Rarely,0,Yes,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,3,5,4,4,3,4,Somewhat agree,18-24,Bachelors,US,1
4/20/2026 20:14:31,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Social media,Sometimes,0,Yes,NEI,52,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,NEI,94,NEI,50,1,2,2,3,1,1,Somewhat agree,25-34,Bachelors,South Korea,3
4/21/2026 11:25:22,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",2,Vague,Online news,Often,1-3,Yes,TRUE,50,FALSE,50,NEI,100,TRUE,50,TRUE,50,FALSE,50,NEI,50,NEI,100,TRUE,100,TRUE,50,4,3,2,6,4,3,Somewhat agree,45-54,Masters,India,4
4/21/2026 17:15:36,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Social media,Rarely,4-6,No,TRUE,86,FALSE,83,NEI,50,TRUE,75,TRUE,71,TRUE,73,TRUE,88,TRUE,55,FALSE,75,TRUE,68,6,2,5,5,5,6,Somewhat agree,18-24,Some college,us,5
4/21/2026 18:04:38,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Online news,Sometimes,1-3,No,TRUE,66,TRUE,31,TRUE,25,FALSE,0,TRUE,50,FALSE,100,FALSE,0,TRUE,0,FALSE,82,FALSE,74,5,4,1,3,3,5,Somewhat agree,18-24,Masters,United States,4
4/22/2026 8:25:59,engagement,"3,29,7,10,4,12,8,30,11,6,42,36",1,No,Social media,Rarely,1-3,No,FALSE,34,FALSE,90,TRUE,50,TRUE,25,TRUE,72,FALSE,94,NEI,65,NEI,65,TRUE,70,TRUE,56,4,2,0,1,2,1,Somewhat agree,18-24,Some college,United States,2
